left_city,right_city,left_column_original,left_column_final,right_column_original,right_column_final,left_header_only,right_header_only,left_header_with_context,right_header_with_context
chicago,sf,Unnamed: 0,unnamed_0,DELETE - Fire Prevention Districts 2 2,delete_fire_prevention_districts_2_2,unnamed_0,delete_fire_prevention_districts_2_2,unnamed_0,delete_fire_prevention_districts_2_2
chicago,sf,Unnamed: 0,unnamed_0,DELETE - Police Districts 2 2,delete_police_districts_2_2,unnamed_0,delete_police_districts_2_2,unnamed_0,delete_police_districts_2_2
chicago,sf,Unnamed: 0,unnamed_0,DELETE - Supervisor Districts 2 2,delete_supervisor_districts_2_2,unnamed_0,delete_supervisor_districts_2_2,unnamed_0,delete_supervisor_districts_2_2
chicago,sf,Unnamed: 0,unnamed_0,DELETE - Zip Codes 2 2,delete_zip_codes_2_2,unnamed_0,delete_zip_codes_2_2,unnamed_0,delete_zip_codes_2_2
chicago,sf,Unnamed: 0,unnamed_0,DELETE - Neighborhoods 2 2,delete_neighborhoods_2_2,unnamed_0,delete_neighborhoods_2_2,unnamed_0,delete_neighborhoods_2_2
chicago,sf,Unnamed: 0,unnamed_0,DELETE - 2017 Fix It Zones 2 2,delete_2017_fix_it_zones_2_2,unnamed_0,delete_2017_fix_it_zones_2_2,unnamed_0,delete_2017_fix_it_zones_2_2
chicago,sf,Unnamed: 0,unnamed_0,Civic Center Harm Reduction Project Boundary 2 2,civic_center_harm_reduction_project_boundary_2_2,unnamed_0,civic_center_harm_reduction_project_boundary_2_2,unnamed_0,civic_center_harm_reduction_project_boundary_2_2
chicago,sf,Unnamed: 0,unnamed_0,Fix It Zones as of 2017-11-06  2 2,fix_it_zones_as_of_2017_11_06_2_2,unnamed_0,fix_it_zones_as_of_2017_11_06_2_2,unnamed_0,fix_it_zones_as_of_2017_11_06_2_2
chicago,sf,Unnamed: 0,unnamed_0,DELETE - HSOC Zones 2 2,delete_hsoc_zones_2_2,unnamed_0,delete_hsoc_zones_2_2,unnamed_0,delete_hsoc_zones_2_2
chicago,sf,Unnamed: 0,unnamed_0,Fix It Zones as of 2018-02-07 2 2,fix_it_zones_as_of_2018_02_07_2_2,unnamed_0,fix_it_zones_as_of_2018_02_07_2_2,unnamed_0,fix_it_zones_as_of_2018_02_07_2_2
chicago,sf,Unnamed: 0,unnamed_0,"CBD, BID and GBD Boundaries as of 2017 2 2",cbd_bid_and_gbd_boundaries_as_of_2017_2_2,unnamed_0,cbd_bid_and_gbd_boundaries_as_of_2017_2_2,unnamed_0,cbd_bid_and_gbd_boundaries_as_of_2017_2_2
chicago,sf,Unnamed: 0,unnamed_0,"Areas of Vulnerability, 2016 2 2",areas_of_vulnerability_2016_2_2,unnamed_0,areas_of_vulnerability_2016_2_2,unnamed_0,areas_of_vulnerability_2016_2_2
chicago,sf,Unnamed: 0,unnamed_0,Central Market/Tenderloin Boundary 2 2,central_market_tenderloin_boundary_2_2,unnamed_0,central_market_tenderloin_boundary_2_2,unnamed_0,central_market_tenderloin_boundary_2_2
chicago,sf,Unnamed: 0,unnamed_0,Central Market/Tenderloin Boundary Polygon - Updated 2 2,central_market_tenderloin_boundary_polygon_updated_2_2,unnamed_0,central_market_tenderloin_boundary_polygon_updated_2_2,unnamed_0,central_market_tenderloin_boundary_polygon_updated_2_2
chicago,sf,Unnamed: 0,unnamed_0,HSOC Zones as of 2018-06-05 2 2,hsoc_zones_as_of_2018_06_05_2_2,unnamed_0,hsoc_zones_as_of_2018_06_05_2_2,unnamed_0,hsoc_zones_as_of_2018_06_05_2_2
chicago,sf,Unnamed: 0,unnamed_0,OWED Public Spaces 2 2,owed_public_spaces_2_2,unnamed_0,owed_public_spaces_2_2,unnamed_0,owed_public_spaces_2_2
chicago,sf,Unnamed: 0,unnamed_0,Neighborhoods 2,neighborhoods_2,unnamed_0,neighborhoods_2,unnamed_0,neighborhoods_2
chicago,sf,ID,id,PdId,police_department_incident_id,id,police_department_incident_id,id,police_department_incident_id | Unique Identifier for use in update and insert operations
chicago,sf,ID,id,IncidntNum,incidntnum,id,incidntnum,id,incidntnum
chicago,sf,ID,id,Incident Code,incident_code,id,incident_code,id,incident_code
chicago,sf,ID,id,Category,category,id,category,id,category
chicago,sf,ID,id,Descript,descript,id,descript,id,descript
chicago,sf,ID,id,DayOfWeek,dayofweek,id,dayofweek,id,dayofweek
chicago,sf,ID,id,Date,date,id,date,id,date
chicago,sf,ID,id,Time,time,id,time,id,time
chicago,sf,ID,id,PdDistrict,pddistrict,id,pddistrict,id,pddistrict | Historical PD District Effective Through 7-18-2015
chicago,sf,ID,id,Resolution,resolution,id,resolution,id,resolution
chicago,sf,ID,id,Address,address,id,address,id,address
chicago,sf,ID,id,X,x,id,x,id,x
chicago,sf,ID,id,Y,y,id,y,id,y
chicago,sf,ID,id,location,location,id,location,id,location
chicago,sf,ID,id,SF Find Neighborhoods 2 2,sf_find_neighborhoods_2_2,id,sf_find_neighborhoods_2_2,id,sf_find_neighborhoods_2_2
chicago,sf,ID,id,Current Police Districts 2 2,current_police_districts_2_2,id,current_police_districts_2_2,id,current_police_districts_2_2
chicago,sf,ID,id,Current Supervisor Districts 2 2,current_supervisor_districts_2_2,id,current_supervisor_districts_2_2,id,current_supervisor_districts_2_2
chicago,sf,ID,id,Analysis Neighborhoods 2 2,analysis_neighborhoods_2_2,id,analysis_neighborhoods_2_2,id,analysis_neighborhoods_2_2
chicago,sf,ID,id,DELETE - Fire Prevention Districts 2 2,delete_fire_prevention_districts_2_2,id,delete_fire_prevention_districts_2_2,id,delete_fire_prevention_districts_2_2
chicago,sf,ID,id,DELETE - Police Districts 2 2,delete_police_districts_2_2,id,delete_police_districts_2_2,id,delete_police_districts_2_2
chicago,sf,ID,id,DELETE - Supervisor Districts 2 2,delete_supervisor_districts_2_2,id,delete_supervisor_districts_2_2,id,delete_supervisor_districts_2_2
chicago,sf,ID,id,DELETE - Zip Codes 2 2,delete_zip_codes_2_2,id,delete_zip_codes_2_2,id,delete_zip_codes_2_2
chicago,sf,ID,id,DELETE - Neighborhoods 2 2,delete_neighborhoods_2_2,id,delete_neighborhoods_2_2,id,delete_neighborhoods_2_2
chicago,sf,ID,id,DELETE - 2017 Fix It Zones 2 2,delete_2017_fix_it_zones_2_2,id,delete_2017_fix_it_zones_2_2,id,delete_2017_fix_it_zones_2_2
chicago,sf,ID,id,Civic Center Harm Reduction Project Boundary 2 2,civic_center_harm_reduction_project_boundary_2_2,id,civic_center_harm_reduction_project_boundary_2_2,id,civic_center_harm_reduction_project_boundary_2_2
chicago,sf,ID,id,Fix It Zones as of 2017-11-06  2 2,fix_it_zones_as_of_2017_11_06_2_2,id,fix_it_zones_as_of_2017_11_06_2_2,id,fix_it_zones_as_of_2017_11_06_2_2
chicago,sf,ID,id,DELETE - HSOC Zones 2 2,delete_hsoc_zones_2_2,id,delete_hsoc_zones_2_2,id,delete_hsoc_zones_2_2
chicago,sf,ID,id,Fix It Zones as of 2018-02-07 2 2,fix_it_zones_as_of_2018_02_07_2_2,id,fix_it_zones_as_of_2018_02_07_2_2,id,fix_it_zones_as_of_2018_02_07_2_2
chicago,sf,ID,id,"CBD, BID and GBD Boundaries as of 2017 2 2",cbd_bid_and_gbd_boundaries_as_of_2017_2_2,id,cbd_bid_and_gbd_boundaries_as_of_2017_2_2,id,cbd_bid_and_gbd_boundaries_as_of_2017_2_2
chicago,sf,ID,id,"Areas of Vulnerability, 2016 2 2",areas_of_vulnerability_2016_2_2,id,areas_of_vulnerability_2016_2_2,id,areas_of_vulnerability_2016_2_2
chicago,sf,ID,id,Central Market/Tenderloin Boundary 2 2,central_market_tenderloin_boundary_2_2,id,central_market_tenderloin_boundary_2_2,id,central_market_tenderloin_boundary_2_2
chicago,sf,ID,id,Central Market/Tenderloin Boundary Polygon - Updated 2 2,central_market_tenderloin_boundary_polygon_updated_2_2,id,central_market_tenderloin_boundary_polygon_updated_2_2,id,central_market_tenderloin_boundary_polygon_updated_2_2
chicago,sf,ID,id,HSOC Zones as of 2018-06-05 2 2,hsoc_zones_as_of_2018_06_05_2_2,id,hsoc_zones_as_of_2018_06_05_2_2,id,hsoc_zones_as_of_2018_06_05_2_2
chicago,sf,ID,id,OWED Public Spaces 2 2,owed_public_spaces_2_2,id,owed_public_spaces_2_2,id,owed_public_spaces_2_2
chicago,sf,ID,id,Neighborhoods 2,neighborhoods_2,id,neighborhoods_2,id,neighborhoods_2
chicago,sf,Case Number,case_number,PdId,police_department_incident_id,case_number,police_department_incident_id,case_number,police_department_incident_id | Unique Identifier for use in update and insert operations
chicago,sf,Case Number,case_number,IncidntNum,incidntnum,case_number,incidntnum,case_number,incidntnum
chicago,sf,Case Number,case_number,Incident Code,incident_code,case_number,incident_code,case_number,incident_code
chicago,sf,Case Number,case_number,Category,category,case_number,category,case_number,category
chicago,sf,Case Number,case_number,Descript,descript,case_number,descript,case_number,descript
chicago,sf,Case Number,case_number,DayOfWeek,dayofweek,case_number,dayofweek,case_number,dayofweek
chicago,sf,Case Number,case_number,Date,date,case_number,date,case_number,date
chicago,sf,Case Number,case_number,Time,time,case_number,time,case_number,time
chicago,sf,Case Number,case_number,PdDistrict,pddistrict,case_number,pddistrict,case_number,pddistrict | Historical PD District Effective Through 7-18-2015
chicago,sf,Case Number,case_number,Resolution,resolution,case_number,resolution,case_number,resolution
chicago,sf,Case Number,case_number,Address,address,case_number,address,case_number,address
chicago,sf,Case Number,case_number,X,x,case_number,x,case_number,x
chicago,sf,Case Number,case_number,Y,y,case_number,y,case_number,y
chicago,sf,Case Number,case_number,location,location,case_number,location,case_number,location
chicago,sf,Case Number,case_number,SF Find Neighborhoods 2 2,sf_find_neighborhoods_2_2,case_number,sf_find_neighborhoods_2_2,case_number,sf_find_neighborhoods_2_2
chicago,sf,Case Number,case_number,Current Police Districts 2 2,current_police_districts_2_2,case_number,current_police_districts_2_2,case_number,current_police_districts_2_2
chicago,sf,Case Number,case_number,Current Supervisor Districts 2 2,current_supervisor_districts_2_2,case_number,current_supervisor_districts_2_2,case_number,current_supervisor_districts_2_2
chicago,sf,Case Number,case_number,Analysis Neighborhoods 2 2,analysis_neighborhoods_2_2,case_number,analysis_neighborhoods_2_2,case_number,analysis_neighborhoods_2_2
chicago,sf,Case Number,case_number,DELETE - Fire Prevention Districts 2 2,delete_fire_prevention_districts_2_2,case_number,delete_fire_prevention_districts_2_2,case_number,delete_fire_prevention_districts_2_2
chicago,sf,Case Number,case_number,DELETE - Police Districts 2 2,delete_police_districts_2_2,case_number,delete_police_districts_2_2,case_number,delete_police_districts_2_2
chicago,sf,Case Number,case_number,DELETE - Supervisor Districts 2 2,delete_supervisor_districts_2_2,case_number,delete_supervisor_districts_2_2,case_number,delete_supervisor_districts_2_2
chicago,sf,Case Number,case_number,DELETE - Zip Codes 2 2,delete_zip_codes_2_2,case_number,delete_zip_codes_2_2,case_number,delete_zip_codes_2_2
chicago,sf,Case Number,case_number,DELETE - Neighborhoods 2 2,delete_neighborhoods_2_2,case_number,delete_neighborhoods_2_2,case_number,delete_neighborhoods_2_2
chicago,sf,Case Number,case_number,DELETE - 2017 Fix It Zones 2 2,delete_2017_fix_it_zones_2_2,case_number,delete_2017_fix_it_zones_2_2,case_number,delete_2017_fix_it_zones_2_2
chicago,sf,Case Number,case_number,Civic Center Harm Reduction Project Boundary 2 2,civic_center_harm_reduction_project_boundary_2_2,case_number,civic_center_harm_reduction_project_boundary_2_2,case_number,civic_center_harm_reduction_project_boundary_2_2
chicago,sf,Case Number,case_number,Fix It Zones as of 2017-11-06  2 2,fix_it_zones_as_of_2017_11_06_2_2,case_number,fix_it_zones_as_of_2017_11_06_2_2,case_number,fix_it_zones_as_of_2017_11_06_2_2
chicago,sf,Case Number,case_number,DELETE - HSOC Zones 2 2,delete_hsoc_zones_2_2,case_number,delete_hsoc_zones_2_2,case_number,delete_hsoc_zones_2_2
chicago,sf,Case Number,case_number,Fix It Zones as of 2018-02-07 2 2,fix_it_zones_as_of_2018_02_07_2_2,case_number,fix_it_zones_as_of_2018_02_07_2_2,case_number,fix_it_zones_as_of_2018_02_07_2_2
chicago,sf,Case Number,case_number,"CBD, BID and GBD Boundaries as of 2017 2 2",cbd_bid_and_gbd_boundaries_as_of_2017_2_2,case_number,cbd_bid_and_gbd_boundaries_as_of_2017_2_2,case_number,cbd_bid_and_gbd_boundaries_as_of_2017_2_2
chicago,sf,Case Number,case_number,"Areas of Vulnerability, 2016 2 2",areas_of_vulnerability_2016_2_2,case_number,areas_of_vulnerability_2016_2_2,case_number,areas_of_vulnerability_2016_2_2
chicago,sf,Case Number,case_number,Central Market/Tenderloin Boundary 2 2,central_market_tenderloin_boundary_2_2,case_number,central_market_tenderloin_boundary_2_2,case_number,central_market_tenderloin_boundary_2_2
chicago,sf,Case Number,case_number,Central Market/Tenderloin Boundary Polygon - Updated 2 2,central_market_tenderloin_boundary_polygon_updated_2_2,case_number,central_market_tenderloin_boundary_polygon_updated_2_2,case_number,central_market_tenderloin_boundary_polygon_updated_2_2
chicago,sf,Case Number,case_number,HSOC Zones as of 2018-06-05 2 2,hsoc_zones_as_of_2018_06_05_2_2,case_number,hsoc_zones_as_of_2018_06_05_2_2,case_number,hsoc_zones_as_of_2018_06_05_2_2
chicago,sf,Case Number,case_number,OWED Public Spaces 2 2,owed_public_spaces_2_2,case_number,owed_public_spaces_2_2,case_number,owed_public_spaces_2_2
chicago,sf,Case Number,case_number,Neighborhoods 2,neighborhoods_2,case_number,neighborhoods_2,case_number,neighborhoods_2
chicago,sf,Date,date,PdId,police_department_incident_id,date,police_department_incident_id,date,police_department_incident_id | Unique Identifier for use in update and insert operations
chicago,sf,Date,date,IncidntNum,incidntnum,date,incidntnum,date,incidntnum
chicago,sf,Date,date,Incident Code,incident_code,date,incident_code,date,incident_code
chicago,sf,Date,date,Category,category,date,category,date,category
chicago,sf,Date,date,Descript,descript,date,descript,date,descript
chicago,sf,Date,date,DayOfWeek,dayofweek,date,dayofweek,date,dayofweek
chicago,sf,Date,date,Date,date,date,date,date,date
chicago,sf,Date,date,Time,time,date,time,date,time
chicago,sf,Date,date,PdDistrict,pddistrict,date,pddistrict,date,pddistrict | Historical PD District Effective Through 7-18-2015
chicago,sf,Date,date,Resolution,resolution,date,resolution,date,resolution
chicago,sf,Date,date,Address,address,date,address,date,address
chicago,sf,Date,date,X,x,date,x,date,x
chicago,sf,Date,date,Y,y,date,y,date,y
chicago,sf,Date,date,location,location,date,location,date,location
chicago,sf,Date,date,SF Find Neighborhoods 2 2,sf_find_neighborhoods_2_2,date,sf_find_neighborhoods_2_2,date,sf_find_neighborhoods_2_2
chicago,sf,Date,date,Current Police Districts 2 2,current_police_districts_2_2,date,current_police_districts_2_2,date,current_police_districts_2_2
chicago,sf,Date,date,Current Supervisor Districts 2 2,current_supervisor_districts_2_2,date,current_supervisor_districts_2_2,date,current_supervisor_districts_2_2
chicago,sf,Date,date,Analysis Neighborhoods 2 2,analysis_neighborhoods_2_2,date,analysis_neighborhoods_2_2,date,analysis_neighborhoods_2_2
chicago,sf,Date,date,DELETE - Fire Prevention Districts 2 2,delete_fire_prevention_districts_2_2,date,delete_fire_prevention_districts_2_2,date,delete_fire_prevention_districts_2_2
chicago,sf,Date,date,DELETE - Police Districts 2 2,delete_police_districts_2_2,date,delete_police_districts_2_2,date,delete_police_districts_2_2
chicago,sf,Date,date,DELETE - Supervisor Districts 2 2,delete_supervisor_districts_2_2,date,delete_supervisor_districts_2_2,date,delete_supervisor_districts_2_2
chicago,sf,Date,date,DELETE - Zip Codes 2 2,delete_zip_codes_2_2,date,delete_zip_codes_2_2,date,delete_zip_codes_2_2
chicago,sf,Date,date,DELETE - Neighborhoods 2 2,delete_neighborhoods_2_2,date,delete_neighborhoods_2_2,date,delete_neighborhoods_2_2
chicago,sf,Date,date,DELETE - 2017 Fix It Zones 2 2,delete_2017_fix_it_zones_2_2,date,delete_2017_fix_it_zones_2_2,date,delete_2017_fix_it_zones_2_2
chicago,sf,Date,date,Civic Center Harm Reduction Project Boundary 2 2,civic_center_harm_reduction_project_boundary_2_2,date,civic_center_harm_reduction_project_boundary_2_2,date,civic_center_harm_reduction_project_boundary_2_2
chicago,sf,Date,date,Fix It Zones as of 2017-11-06  2 2,fix_it_zones_as_of_2017_11_06_2_2,date,fix_it_zones_as_of_2017_11_06_2_2,date,fix_it_zones_as_of_2017_11_06_2_2
chicago,sf,Date,date,DELETE - HSOC Zones 2 2,delete_hsoc_zones_2_2,date,delete_hsoc_zones_2_2,date,delete_hsoc_zones_2_2
chicago,sf,Date,date,Fix It Zones as of 2018-02-07 2 2,fix_it_zones_as_of_2018_02_07_2_2,date,fix_it_zones_as_of_2018_02_07_2_2,date,fix_it_zones_as_of_2018_02_07_2_2
chicago,sf,Date,date,"CBD, BID and GBD Boundaries as of 2017 2 2",cbd_bid_and_gbd_boundaries_as_of_2017_2_2,date,cbd_bid_and_gbd_boundaries_as_of_2017_2_2,date,cbd_bid_and_gbd_boundaries_as_of_2017_2_2
chicago,sf,Date,date,"Areas of Vulnerability, 2016 2 2",areas_of_vulnerability_2016_2_2,date,areas_of_vulnerability_2016_2_2,date,areas_of_vulnerability_2016_2_2
chicago,sf,Date,date,Central Market/Tenderloin Boundary 2 2,central_market_tenderloin_boundary_2_2,date,central_market_tenderloin_boundary_2_2,date,central_market_tenderloin_boundary_2_2
chicago,sf,Date,date,Central Market/Tenderloin Boundary Polygon - Updated 2 2,central_market_tenderloin_boundary_polygon_updated_2_2,date,central_market_tenderloin_boundary_polygon_updated_2_2,date,central_market_tenderloin_boundary_polygon_updated_2_2
chicago,sf,Date,date,HSOC Zones as of 2018-06-05 2 2,hsoc_zones_as_of_2018_06_05_2_2,date,hsoc_zones_as_of_2018_06_05_2_2,date,hsoc_zones_as_of_2018_06_05_2_2
chicago,sf,Date,date,OWED Public Spaces 2 2,owed_public_spaces_2_2,date,owed_public_spaces_2_2,date,owed_public_spaces_2_2
chicago,sf,Date,date,Neighborhoods 2,neighborhoods_2,date,neighborhoods_2,date,neighborhoods_2
chicago,sf,Block,block,PdId,police_department_incident_id,block,police_department_incident_id,block,police_department_incident_id | Unique Identifier for use in update and insert operations
chicago,sf,Block,block,IncidntNum,incidntnum,block,incidntnum,block,incidntnum
chicago,sf,Block,block,Incident Code,incident_code,block,incident_code,block,incident_code
chicago,sf,Block,block,Category,category,block,category,block,category
chicago,sf,Block,block,Descript,descript,block,descript,block,descript
chicago,sf,Block,block,DayOfWeek,dayofweek,block,dayofweek,block,dayofweek
chicago,sf,Block,block,Date,date,block,date,block,date
chicago,sf,Block,block,Time,time,block,time,block,time
chicago,sf,Block,block,PdDistrict,pddistrict,block,pddistrict,block,pddistrict | Historical PD District Effective Through 7-18-2015
chicago,sf,Block,block,Resolution,resolution,block,resolution,block,resolution
chicago,sf,Block,block,Address,address,block,address,block,address
chicago,sf,Block,block,X,x,block,x,block,x
chicago,sf,Block,block,Y,y,block,y,block,y
chicago,sf,Block,block,location,location,block,location,block,location
chicago,sf,Block,block,SF Find Neighborhoods 2 2,sf_find_neighborhoods_2_2,block,sf_find_neighborhoods_2_2,block,sf_find_neighborhoods_2_2
chicago,sf,Block,block,Current Police Districts 2 2,current_police_districts_2_2,block,current_police_districts_2_2,block,current_police_districts_2_2
chicago,sf,Block,block,Current Supervisor Districts 2 2,current_supervisor_districts_2_2,block,current_supervisor_districts_2_2,block,current_supervisor_districts_2_2
chicago,sf,Block,block,Analysis Neighborhoods 2 2,analysis_neighborhoods_2_2,block,analysis_neighborhoods_2_2,block,analysis_neighborhoods_2_2
chicago,sf,Block,block,DELETE - Fire Prevention Districts 2 2,delete_fire_prevention_districts_2_2,block,delete_fire_prevention_districts_2_2,block,delete_fire_prevention_districts_2_2
chicago,sf,Block,block,DELETE - Police Districts 2 2,delete_police_districts_2_2,block,delete_police_districts_2_2,block,delete_police_districts_2_2
chicago,sf,Block,block,DELETE - Supervisor Districts 2 2,delete_supervisor_districts_2_2,block,delete_supervisor_districts_2_2,block,delete_supervisor_districts_2_2
chicago,sf,Block,block,DELETE - Zip Codes 2 2,delete_zip_codes_2_2,block,delete_zip_codes_2_2,block,delete_zip_codes_2_2
chicago,sf,Block,block,DELETE - Neighborhoods 2 2,delete_neighborhoods_2_2,block,delete_neighborhoods_2_2,block,delete_neighborhoods_2_2
chicago,sf,Block,block,DELETE - 2017 Fix It Zones 2 2,delete_2017_fix_it_zones_2_2,block,delete_2017_fix_it_zones_2_2,block,delete_2017_fix_it_zones_2_2
chicago,sf,Block,block,Civic Center Harm Reduction Project Boundary 2 2,civic_center_harm_reduction_project_boundary_2_2,block,civic_center_harm_reduction_project_boundary_2_2,block,civic_center_harm_reduction_project_boundary_2_2
chicago,sf,Block,block,Fix It Zones as of 2017-11-06  2 2,fix_it_zones_as_of_2017_11_06_2_2,block,fix_it_zones_as_of_2017_11_06_2_2,block,fix_it_zones_as_of_2017_11_06_2_2
chicago,sf,Block,block,DELETE - HSOC Zones 2 2,delete_hsoc_zones_2_2,block,delete_hsoc_zones_2_2,block,delete_hsoc_zones_2_2
chicago,sf,Block,block,Fix It Zones as of 2018-02-07 2 2,fix_it_zones_as_of_2018_02_07_2_2,block,fix_it_zones_as_of_2018_02_07_2_2,block,fix_it_zones_as_of_2018_02_07_2_2
chicago,sf,Block,block,"CBD, BID and GBD Boundaries as of 2017 2 2",cbd_bid_and_gbd_boundaries_as_of_2017_2_2,block,cbd_bid_and_gbd_boundaries_as_of_2017_2_2,block,cbd_bid_and_gbd_boundaries_as_of_2017_2_2
chicago,sf,Block,block,"Areas of Vulnerability, 2016 2 2",areas_of_vulnerability_2016_2_2,block,areas_of_vulnerability_2016_2_2,block,areas_of_vulnerability_2016_2_2
chicago,sf,Block,block,Central Market/Tenderloin Boundary 2 2,central_market_tenderloin_boundary_2_2,block,central_market_tenderloin_boundary_2_2,block,central_market_tenderloin_boundary_2_2
chicago,sf,Block,block,Central Market/Tenderloin Boundary Polygon - Updated 2 2,central_market_tenderloin_boundary_polygon_updated_2_2,block,central_market_tenderloin_boundary_polygon_updated_2_2,block,central_market_tenderloin_boundary_polygon_updated_2_2
chicago,sf,Block,block,HSOC Zones as of 2018-06-05 2 2,hsoc_zones_as_of_2018_06_05_2_2,block,hsoc_zones_as_of_2018_06_05_2_2,block,hsoc_zones_as_of_2018_06_05_2_2
chicago,sf,Block,block,OWED Public Spaces 2 2,owed_public_spaces_2_2,block,owed_public_spaces_2_2,block,owed_public_spaces_2_2
chicago,sf,Block,block,Neighborhoods 2,neighborhoods_2,block,neighborhoods_2,block,neighborhoods_2
chicago,sf,IUCR,illinois_uniform_crime_reporting_code,PdId,police_department_incident_id,illinois_uniform_crime_reporting_code,police_department_incident_id,illinois_uniform_crime_reporting_code,police_department_incident_id | Unique Identifier for use in update and insert operations
chicago,sf,IUCR,illinois_uniform_crime_reporting_code,IncidntNum,incidntnum,illinois_uniform_crime_reporting_code,incidntnum,illinois_uniform_crime_reporting_code,incidntnum
chicago,sf,IUCR,illinois_uniform_crime_reporting_code,Incident Code,incident_code,illinois_uniform_crime_reporting_code,incident_code,illinois_uniform_crime_reporting_code,incident_code
chicago,sf,IUCR,illinois_uniform_crime_reporting_code,Category,category,illinois_uniform_crime_reporting_code,category,illinois_uniform_crime_reporting_code,category
chicago,sf,IUCR,illinois_uniform_crime_reporting_code,Descript,descript,illinois_uniform_crime_reporting_code,descript,illinois_uniform_crime_reporting_code,descript
chicago,sf,IUCR,illinois_uniform_crime_reporting_code,DayOfWeek,dayofweek,illinois_uniform_crime_reporting_code,dayofweek,illinois_uniform_crime_reporting_code,dayofweek
chicago,sf,IUCR,illinois_uniform_crime_reporting_code,Date,date,illinois_uniform_crime_reporting_code,date,illinois_uniform_crime_reporting_code,date
chicago,sf,IUCR,illinois_uniform_crime_reporting_code,Time,time,illinois_uniform_crime_reporting_code,time,illinois_uniform_crime_reporting_code,time
chicago,sf,IUCR,illinois_uniform_crime_reporting_code,PdDistrict,pddistrict,illinois_uniform_crime_reporting_code,pddistrict,illinois_uniform_crime_reporting_code,pddistrict | Historical PD District Effective Through 7-18-2015
chicago,sf,IUCR,illinois_uniform_crime_reporting_code,Resolution,resolution,illinois_uniform_crime_reporting_code,resolution,illinois_uniform_crime_reporting_code,resolution
chicago,sf,IUCR,illinois_uniform_crime_reporting_code,Address,address,illinois_uniform_crime_reporting_code,address,illinois_uniform_crime_reporting_code,address
chicago,sf,IUCR,illinois_uniform_crime_reporting_code,X,x,illinois_uniform_crime_reporting_code,x,illinois_uniform_crime_reporting_code,x
chicago,sf,IUCR,illinois_uniform_crime_reporting_code,Y,y,illinois_uniform_crime_reporting_code,y,illinois_uniform_crime_reporting_code,y
chicago,sf,IUCR,illinois_uniform_crime_reporting_code,location,location,illinois_uniform_crime_reporting_code,location,illinois_uniform_crime_reporting_code,location
chicago,sf,IUCR,illinois_uniform_crime_reporting_code,SF Find Neighborhoods 2 2,sf_find_neighborhoods_2_2,illinois_uniform_crime_reporting_code,sf_find_neighborhoods_2_2,illinois_uniform_crime_reporting_code,sf_find_neighborhoods_2_2
chicago,sf,IUCR,illinois_uniform_crime_reporting_code,Current Police Districts 2 2,current_police_districts_2_2,illinois_uniform_crime_reporting_code,current_police_districts_2_2,illinois_uniform_crime_reporting_code,current_police_districts_2_2
